"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,2.04265168476433,0.432,0.128,0,"HLA.DRB5"
0,1.62341632438127,0.625,0.286,0,"PPP1CA"
0,1.37405636684171,0.455,0.246,0,"GIMAP4"
0,1.34819576491047,0.92,0.807,0,"RPS26"
0,1.3121225804333,0.371,0.181,0,"TXNL4A"
0,1.30488790095688,0.26,0.123,0,"HDAC1"
0,1.30412886650722,0.289,0.139,0,"PSMB8.AS1"
0,1.27316275621465,0.543,0.298,0,"YPEL3"
0,1.19313142533287,0.278,0.138,0,"TMEM179B"
0,1.1916025814256,0.451,0.308,0,"GZMA"
0,1.17497803717411,0.272,0.14,0,"PSMB2"
0,1.15923636832028,0.453,0.275,0,"EFHD2"
0,1.158841906951,0.289,0.149,0,"SPN"
0,1.15853052497194,0.528,0.317,0,"PRELID1"
2.09969508370414e-314,1.15807770822831,0.267,0.147,4.44631430925189e-310,"APOBEC3G"
0,1.14730195289226,0.253,0.133,0,"MRPL51"
2.00928286269157e-272,1.13866962460475,0.329,0.214,4.25485739003566e-268,"GZMB"
0,1.12855075151693,0.276,0.145,0,"NCBP2.AS2"
0,1.12306565666613,0.269,0.143,0,"TAF10"
0,1.1201764195317,0.35,0.194,0,"PDCD6"
0,1.11024210732043,0.548,0.33,0,"PSMB10"
0,1.10649431623479,0.313,0.177,0,"ABHD17A"
0,1.10280977597493,0.316,0.169,0,"RGS19"
0,1.10086958780338,0.298,0.17,0,"MRPS6"
0,1.07466053390914,0.507,0.302,0,"GIMAP7"
0,1.05341894184577,0.746,0.519,0,"CLIC1"
0,1.04922106489347,0.359,0.207,0,"GLRX"
0,1.04796007425694,0.494,0.3,0,"SRSF9"
0,1.04004758154686,0.326,0.185,0,"MRPS34"
2.62242434896878e-260,1.00815574429183,0.25,0.143,5.55324580137629e-256,"MRPL34"
0,1.00360527797689,0.344,0.21,0,"MGST3"
0,0.992616283488929,0.477,0.3,0,"SLC9A3R1"
6.0242417533532e-295,0.987681017885258,0.273,0.155,1.27569343369007e-290,"RER1"
0,0.98486603011991,0.329,0.192,0,"PYCARD"
0,0.983315199724089,0.321,0.191,0,"SNX17"
0,0.977572928453977,0.414,0.257,0,"ALOX5AP"
0,0.964856703822785,0.438,0.272,0,"BST2"
0,0.963902747421927,0.325,0.193,0,"TWF2"
1.56470892684627e-289,0.958850248319404,0.282,0.164,3.31342762348966e-285,"MIEN1"
0,0.958164336746066,0.393,0.249,0,"SYNGR2"
0,0.957502562396524,0.649,0.44,0,"ARL6IP5"
0,0.956867802941926,0.488,0.288,0,"GNAI2"
0,0.955437409278751,0.485,0.315,0,"PGAM1"
0,0.952128152320308,0.391,0.243,0,"UBE2L6"
3.34312303212327e-210,0.939354701328493,0.265,0.17,7.07939733282423e-206,"AC006129.2"
1.06973034021137e-225,0.935400403044583,0.251,0.152,2.26526096843159e-221,"TEX264"
8.80176860964537e-294,0.926938348604037,0.313,0.192,1.8638625207785e-289,"TMED9"
1.76483931459817e-315,0.922652656254784,0.322,0.196,3.73722373259309e-311,"NDUFC1"
6.16378756931509e-267,0.915673620632504,0.305,0.191,1.30524365567816e-262,"PDIA6"
2.25244238960932e-231,0.911107417782131,0.276,0.171,4.76977200423669e-227,"AGTRAP"
0,0.906925132329492,0.78,0.55,0,"ARPC1B"
7.96823210911604e-273,0.902736974719121,0.393,0.273,1.68735283142641e-268,"PRF1"
0,0.900467816984377,0.414,0.258,0,"CSK"
7.50274060539393e-145,0.898995676321566,0.277,0.196,1.58878035059822e-140,"SPON2"
0,0.896839653442804,0.366,0.226,0,"M6PR"
1.70277728813976e-316,0.8965969803527,0.361,0.222,3.60580118536476e-312,"FCER1G"
